label=AudioBG-40ms intervalMs=40.000 duration=3600.000s
t(ms),dt(ms)
28122.711,41.991
28162.720,40.009
28202.739,40.019
28245.087,42.348
28280.846,35.760
28322.369,41.523
28362.730,40.361
28401.444,38.714
28441.621,40.176
28481.150,39.530
28522.742,41.592
28561.050,38.308
28600.633,39.583
28645.059,44.426
28681.471,36.412
28722.711,41.240
28761.394,38.683
28802.734,41.340
28845.080,42.347
28882.083,37.003
28922.728,40.645
28962.766,40.038
29003.069,40.304
29041.536,38.466
29082.148,40.612
29122.708,40.560
29162.709,40.001
29205.061,42.352
29245.091,40.030
29282.443,37.351
29322.751,40.309
29362.782,40.030
29401.478,38.696
29440.412,38.934
29482.828,42.416
29523.354,40.525
29562.747,39.394
29604.117,41.370
29645.059,40.942
29683.144,38.085
29722.852,39.708
29761.804,38.951
29802.272,40.469
29845.077,42.805
29883.516,38.439
29923.320,39.803
29962.669,39.350
30004.534,41.865
30040.531,35.997
30083.737,43.206
30122.713,38.976
30165.134,42.421
30202.715,37.580
30245.114,42.399
30284.106,38.992
30323.328,39.222
30362.783,39.455
30401.234,38.451
30445.152,43.918
30484.366,39.215
30522.768,38.402
30565.128,42.360
30601.143,36.016
30645.110,43.967
30684.680,39.570
30723.309,38.629
30761.903,38.593
30802.713,40.811
30845.088,42.374
30885.047,39.959
30922.782,37.735
30963.835,41.053
31003.879,40.044
31046.054,42.176
31082.375,36.321
31122.909,40.533
31162.716,39.807
31202.716,40.000
31245.071,42.354
31285.125,40.055
31322.740,37.615
31362.792,40.051
31401.478,38.686
31445.131,43.653
31485.080,39.949
31523.256,38.176
31562.774,39.518
31602.770,39.996
31645.087,42.317
31683.345,38.258
31723.305,39.961
31762.554,39.249
31802.722,40.168
31845.088,42.366
31882.096,37.008
31923.337,41.241
31962.732,39.396
32003.447,40.715
32040.767,37.319
32085.070,44.303
32122.738,37.669
32162.717,39.979
32203.629,40.912
32244.305,40.676
32285.075,40.770
32322.713,37.638
32362.497,39.784
32402.719,40.222
32445.129,42.410
32485.124,39.995
32522.714,37.590
32562.712,39.998
32602.714,40.002
32640.982,38.268
32685.059,44.077
32723.300,38.241
32762.704,39.404
32802.709,40.005
32840.190,37.481
32882.712,42.522
32923.579,40.867
32962.716,39.137
33005.025,42.309
33040.514,35.489
33082.313,41.799
33125.042,42.728
33162.746,37.704
33203.236,40.490
33240.824,37.588
33285.084,44.260
33325.072,39.988
33362.733,37.661
33403.238,40.505
33441.146,37.908
33485.076,43.930
33525.067,39.991
33562.709,37.643
33602.764,40.055
33641.519,38.755
33683.940,42.420
33725.081,41.141
33762.712,37.631
33802.716,40.004
33841.780,39.064
33885.083,43.303
33923.147,38.064
33962.706,39.559
34004.995,42.290
34042.108,37.112
34085.063,42.955
34121.724,36.661
34161.424,39.700
34205.037,43.612
34244.824,39.788
34285.090,40.266
34321.709,36.619
34363.423,41.714
34401.449,38.026
34442.670,41.220
34485.086,42.417
34521.690,36.604
34562.710,41.020
34605.027,42.317
34643.035,38.008
34685.058,42.023
34721.784,36.726
34765.135,43.351
34804.991,39.855
34843.351,38.360
34885.074,41.723
34924.753,39.679
34965.065,40.312
35005.007,39.942
35043.689,38.683
35085.097,41.408
35121.760,36.663
35165.064,43.304
35205.033,39.969
35243.991,38.958
35285.094,41.103
35321.721,36.627
35361.671,39.950
35405.003,43.331
35444.323,39.321
35482.741,38.418
35521.696,38.955
35563.830,42.134
35604.993,41.163
35644.682,39.689
35685.107,40.425
35721.763,36.657
35760.896,39.133
35805.057,44.161
35844.955,39.898
35883.108,38.153
35922.775,39.668
35965.073,42.297
36005.159,40.087
36042.753,37.594
36083.052,40.299
36122.128,39.076
36160.355,38.228
36203.252,42.897
36240.428,37.176
36283.083,42.655
36320.522,37.438
36360.647,40.126
36405.147,44.500
36442.719,37.572
36483.110,40.391
36522.676,39.566
36560.849,38.172
36601.182,40.334
36641.986,40.804
36683.037,41.051
36721.853,38.815
36762.440,40.587
36805.134,42.694
36842.707,37.573
36883.057,40.351
36922.704,39.647
36963.751,41.047
37004.355,40.603
37042.799,38.444
37083.041,40.243
37121.979,38.938
37161.882,39.903
37206.297,44.415
37242.687,36.390
37283.043,40.356
37322.869,39.826
37362.123,39.254
37402.822,40.699
37442.784,39.962
37485.057,42.273
37525.057,40.000
37562.457,37.401
37602.727,40.270
37644.241,41.514
37682.718,38.477
37721.867,39.149
37762.762,40.895
37802.717,39.955
37844.293,41.576
37885.060,40.767
37922.738,37.678
37963.082,40.344
38005.054,41.972
38044.298,39.244
38085.035,40.737
38122.709,37.674
38163.423,40.714
38202.800,39.378
38244.293,41.493
38283.712,39.418
38322.707,38.996
38363.750,41.042
38404.418,40.668
38445.056,40.638
38480.909,35.853
38521.125,40.217
38564.057,42.932
38604.460,40.403
38643.713,39.253
38681.620,37.906
38721.166,39.547
38764.398,43.232
38804.419,40.021
38845.057,40.638
38880.985,35.928
38921.113,40.128
38964.705,43.593
39004.430,39.724
39045.078,40.649
39085.067,39.989
39121.109,36.042
39165.026,43.917
39204.436,39.409
39248.272,43.837
39280.693,32.420
39321.106,40.413
39362.743,41.637
39401.456,38.712
39445.057,43.602
39485.078,40.020
39522.680,37.603
39562.716,40.036
39602.573,39.857
39644.768,42.196
39685.082,40.313
39722.704,37.622
39762.721,40.017
39802.723,40.002
39842.442,39.719
39882.584,40.142
39922.809,40.225
39965.123,42.314
40003.637,38.514
40044.441,40.803
40085.098,40.657
40122.784,37.686
40162.732,39.947
40202.730,39.998
40245.122,42.392
40282.701,37.579
40322.768,40.067
40362.717,39.949
40401.503,38.786
40440.966,39.463
40485.067,44.100
40522.871,37.805
40565.137,42.266
40600.340,35.203
40645.149,44.809
40685.168,40.019
40722.789,37.621
40760.888,38.099
40802.726,41.838
40845.137,42.411
40884.132,38.995
40922.768,38.636
40962.779,40.010
41003.008,40.229
41045.055,42.047
41080.371,35.316
41122.821,42.450
41162.718,39.897
41201.338,38.619
41245.122,43.785
41282.413,37.291
41323.111,40.698
41362.705,39.593
41405.124,42.419
41445.059,39.935
41485.120,40.062
41520.580,35.459
41565.128,44.548
41602.707,37.578
41642.709,40.002
41682.707,39.998
41720.937,38.229
41765.062,44.125
41802.704,37.642
41842.714,40.010
41880.548,37.834
41921.197,40.650
41965.062,43.865
42004.609,39.547
42042.844,38.235
42082.696,39.851
42121.560,38.865
42163.886,42.325
42202.386,38.500
42242.715,40.329
42284.916,42.201
42322.847,37.931
42362.868,40.020
42401.680,38.813
42442.717,41.037
42484.945,42.227
42522.229,37.284
42562.771,40.542
42601.614,38.843
42645.126,43.512
42684.935,39.809
42722.458,37.523
42762.653,40.196
42804.268,41.615
42845.084,40.816
42884.922,39.837
42922.793,37.872
42962.772,39.978
43004.187,41.415
43041.555,37.368
43084.956,43.400
43123.093,38.138
43162.722,39.628
43201.675,38.954
43245.134,43.458
43284.955,39.822
43323.426,38.471
43362.721,39.295
43401.708,38.987
43442.031,40.323
43484.916,42.885
43523.786,38.871
43565.125,41.339
43600.981,35.855
43642.753,41.772
43684.953,42.200
43724.078,39.125
43762.708,38.630
43801.679,38.971
43842.869,41.190
43884.935,42.066
43924.431,39.496
43965.074,40.643
44001.631,36.557
44041.226,39.594
44084.940,43.714
44124.694,39.754
44161.998,37.305
44201.684,39.686
44245.064,43.380
44284.931,39.868
44325.005,40.074
44363.242,38.236
44401.496,38.254
44440.217,38.721
44484.923,44.706
44525.060,40.137
44561.158,36.098
44602.079,40.921
44640.534,38.456
44684.998,44.463
44725.137,40.139
44762.698,37.562
44801.675,38.977
44840.894,39.218
44884.946,44.053
44923.863,38.917
44964.436,40.573
45001.620,37.184
45042.817,41.197
45084.992,42.175
45125.122,40.130
45162.736,37.614
45201.652,38.916
45241.537,39.885
45284.993,43.456
45325.104,40.111
45362.719,37.615
45401.719,39.000
45441.874,40.154
45484.952,43.079
45525.080,40.128
45562.816,37.735
45601.741,38.925
45642.315,40.574
45684.943,42.628
45725.139,40.196
45760.385,35.246
45801.599,41.214
45844.424,42.824
45884.936,40.512
45925.068,40.132
45961.140,36.072
46001.662,40.522
46044.567,42.905
46084.743,40.176
46125.065,40.322
46164.385,39.320
46201.634,37.248
46244.614,42.980
46284.913,40.299
46321.201,36.288
46364.212,43.011
46403.577,39.365
46444.732,41.154
46484.921,40.189
46525.147,40.226
46565.072,39.924
46601.626,36.555
46644.848,43.221
46684.917,40.069
46725.069,40.152
46765.132,40.063
46803.593,38.461
46844.916,41.322
46885.080,40.165
46921.383,36.303
46961.648,40.265
47002.708,41.060
47045.040,42.332
47083.735,38.694
47122.710,38.976
47165.065,42.355
47201.379,36.313
47245.192,43.813
47284.698,39.506
47325.134,40.436
47365.065,39.932
47401.533,36.468
47442.639,41.106
47484.367,41.728
47523.933,39.565
47565.057,41.124
47601.399,36.343
47645.060,43.661
47684.738,39.677
47725.059,40.322
47761.119,36.060
47801.395,40.276
47842.725,41.330
47884.685,41.960
47925.056,40.371
47962.180,37.124
48001.453,39.273
48042.732,41.279
48084.703,41.971
48125.060,40.357
48160.227,35.167
48201.422,41.195
48241.468,40.046
48284.693,43.225
48325.062,40.369
48360.293,35.231
48401.403,41.110
48444.689,43.286
48484.719,40.030
48521.469,36.750
48560.448,38.979
48600.684,40.236
48643.716,43.032
48684.680,40.964
48725.062,40.382
48763.958,38.896
48801.388,37.429
48842.770,41.382
48884.695,41.925
48921.978,37.284
48964.296,42.318
49001.960,37.665
49045.070,43.110
49084.716,39.646
49125.072,40.356
49164.610,39.538
49201.449,36.839
49242.713,41.263
49284.688,41.976
49325.053,40.365
49364.924,39.871
49401.319,36.395
49445.062,43.743
49484.710,39.648
49525.072,40.362
49563.962,38.890
49601.464,37.502
49642.720,41.256
49684.710,41.990
49722.762,38.052
49762.784,40.022
49801.377,38.593
49842.037,40.660
49884.694,42.657
49925.055,40.361
49962.719,37.663
50003.599,40.881
50042.758,39.159
50084.713,41.955
50125.061,40.348
50162.795,37.734
50201.399,38.603
50242.725,41.326
50284.692,41.967
50325.054,40.363
50362.705,37.651
50401.431,38.726
50442.408,40.977
50486.480,44.072
50520.686,34.206
50562.722,42.036
50605.137,42.415
50643.708,38.571
50682.889,39.181
50725.056,42.167
50760.926,35.870
50805.055,44.128
50842.775,37.721
50884.094,41.318
50925.058,40.964
50962.727,37.669
51002.975,40.248
51042.787,39.812
51082.902,40.116
51125.058,42.156
51162.818,37.760
51202.679,39.860
51242.719,40.040
51282.886,40.167
51320.274,37.389
51361.640,41.366
51401.446,39.806
51444.285,42.839
51482.865,38.580
51520.718,37.853
51562.738,42.020
51605.099,42.361
51642.652,37.553
51682.848,40.196
51720.925,38.078
51762.774,41.849
51805.065,42.290
51842.697,37.632
51882.900,40.203
51921.239,38.338
51962.715,41.477
52004.697,41.982
52045.153,40.455
52082.904,37.752
52121.507,38.603
52162.785,41.278
52205.122,42.337
52242.712,37.590
52282.951,40.240
52321.888,38.936
52365.059,43.171
52401.173,36.114
52441.284,40.112
52482.921,41.636
52522.292,39.372
52562.752,40.460
52605.066,42.314
52642.783,37.716
52682.890,40.108
52722.600,39.710
52762.774,40.175
52803.882,41.107
52840.420,36.538
52882.892,42.472
52924.697,41.805
52962.711,38.014
53004.170,41.459
53045.135,40.966
53082.864,37.729
53123.115,40.251
53165.056,41.941
53205.136,40.080
53245.055,39.919
53282.890,37.835
53323.425,40.535
53365.066,41.641
53403.539,38.473
53443.342,39.802
53482.917,39.575
53523.852,40.936
53562.681,38.829
53605.101,42.420
53645.065,39.963
53681.939,36.875
53724.067,42.128
53762.737,38.670
53802.066,39.329
53840.797,38.731
53885.129,44.332
53924.368,39.239
53965.061,40.693
54002.050,36.988
54041.329,39.280
54082.700,41.370
54124.714,42.015
54162.787,38.072
54202.117,39.330
54245.070,42.953
54285.115,40.045
54325.024,39.909
54362.716,37.692
54402.049,39.333
54444.608,42.559
54485.120,40.512
54525.054,39.934
54560.688,35.634
54602.154,41.466
54640.252,38.098
54685.062,44.810
54722.911,37.849
54762.725,39.813
54802.736,40.011
54840.573,37.837
54885.057,44.484
54923.910,38.852
54965.057,41.147
55002.710,37.653
55042.816,40.106
55085.085,42.269
55122.915,37.830
55165.068,42.154
55202.770,37.701
55241.233,38.463
55283.862,42.629
55322.732,38.870
55362.247,39.515
55402.707,40.461
55441.630,38.922
55485.067,43.437
55522.721,37.655
55564.442,41.720
55602.799,38.357
55641.898,39.100
55685.066,43.168
55722.917,37.851
55760.891,37.973
55802.777,41.886
55842.203,39.426
55882.656,40.452
55922.698,40.042
55961.055,38.357
56005.058,44.002
56044.461,39.404
56085.067,40.606
56122.717,37.650
56160.855,38.137
56202.737,41.883
56242.832,40.094
56285.077,42.246
56322.768,37.691
56362.767,39.999
56402.711,39.944
56443.190,40.479
56485.072,41.882
56522.730,37.658
56562.728,39.998
56602.748,40.020
56643.613,40.865
56685.069,41.456
56722.941,37.872
56762.728,39.787
56802.713,39.986
56843.865,41.152
56882.635,38.770
56922.783,40.148
56961.198,38.415
57002.717,41.520
57044.282,41.564
57085.087,40.805
57122.738,37.652
57162.720,39.982
57202.730,40.010
57244.527,41.797
57281.083,36.556
